交付文件：报表-初二3班测验得分统计.xlsx

DOWNLOAD_READY

[点击下载 报表-初二3班测验得分统计.xlsx](https://workbench.aivia.asia/dl/20d6450f31ba42279d81c389c7e56371/file.xlsx)

下载链接（HTTPS）：https://workbench.aivia.asia/dl/20d6450f31ba42279d81c389c7e56371/file.xlsx

（浏览器将直接下载文件；主路径为 https 文件 URL，非 data-URL）

<details><summary>内容预览（备用）</summary>

```markdown
| 学号 | 姓名 | 性别 | 选择题(40) | 填空题(20) | 解答题(40) | 总分 | 班级排名 |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 20240301 | 张明 | 男 | 36 | 18 | 35 | 89 | 5 |
| 20240302 | 李华 | 女 | 38 | 19 | 38 | 95 | 2 |
| 20240303 | 王芳 | 女 | 34 | 16 | 30 | 80 | 12 |
| 20240304 | 刘洋 | 男 | 40 | 20 | 40 | 100 | 1 |
| 20240305 | 陈静 | 女 | 32 | 15 | 28 | 75 | 18 |
| 20240306 | 赵磊 | 男 | 35 | 17 | 33 | 85 | 8 |
| 20240307 | 孙悦 | 女 | 37 | 18 | 36 | 91 | 4 |
| 20240308 | 周杰 | 男 | 30 | 14 | 25 | 69 | 22 |
| 20240309 | 吴敏 | 女 | 39 | 19 | 37 | 95 | 2 |
| 20240310 | 郑浩 | 男 | 33 | 16 | 31 | 80 | 12 |
| 20240311 | 钱雨 | 女 | 36 | 17 | 34 | 87 | 7 |
| 20240312 | 冯雪 | 男 | 31 | 15 | 27 | 73 | 20 |
| 20240313 | 蒋涛 | 男 | 38 | 18 | 36 | 92 | 3 |
| 20240314 | 韩梅 | 女 | 29 | 13 | 24 | 66 | 24 |
| 20240315 | 杨帆 | 男 | 35 | 16 | 32 | 83 | 10 |
| 20240316 | 朱琳 | 女 | 34 | 17 | 33 | 84 | 9 |
| 20240317 | 秦刚 | 男 | 32 | 15 | 29 | 76 | 17 |
| 20240318 | 许晴 | 女 | 37 | 18 | 35 | 90 | 6 |
| 20240319 | 何军 | 男 | 28 | 12 | 22 | 62 | 26 |
| 20240320 | 吕燕 | 女 | 33 | 16 | 30 | 79 | 14 |
```

</details>
